${0},"${0}",
"${0} ${1} already exists.","${0} ${1} موجودة من قبل.",
"${0} ${1} does not exist","${0} ${1} غير موجود",
"${0} ${1} has been modified after loading please reload entry.","${0} ${1} تم تعديله بعد التحميل يرجى إعادة تحميل الإدخال.",
"${0} ${1} is linked with existing records.","${0} ${1} مرطبت بسجل موجود.",
"${0} account not set in Inventory Settings.","${0} لم يتم تعيين الحساب في إعدادات المخزون.",
"${0} already applied.","${0} تم تطبيقه بالفعل.",
"${0} already saved","${0} تم حفظ بالفعل",
"${0} already submitted","${0} تم الارسال بالفعل",
"${0} cancelled","${0} تم الالغاء",
"${0} cannot be cancelled","${0} لا يمكن الالغاء",
"${0} cannot be deleted","${0} لا يمكن الحذف",
"${0} deleted","${0} تم الحذف",
"${0} entries failed","${0} فشل الادخال",
"${0} entries imported","${0} الإدخالات المستوردة",
"${0} entry failed","${0} فشل الإدخال",
"${0} entry imported","${0} الإدخال مستورد",
"${0} fields selected","${0} الحقول المحددة",
"${0} filters applied","${0} تم تطبيق الفيلتر",
"${0} has linked child accounts.","${0} لديه حسابات فرعية مرتبطة.",
"${0} of type ${1} does not exist","${0} من النوع ${1} غير موجود",
"${0} only has ${1} points","${0} فقط يحتوي على ${1} النقاط",
"${0} out of ${1}","${0} من ${1}",
"${0} party ${1} is different from ${2}",,
"${0} quantity ${1} added.","${0} الكمية ${1} تمت الإضافة.",
"${0} quantity 1 added.","${0} الكمية 1 تمت الإضافة.",
"${0} row added.","${0} الصف تمت الإضافة.",
"${0} rows","${0} الصفوف",
"${0} rows added.","${0} الصفوف تمت الإضافة.",
"${0} saved","${0} تم حفظ",
"${0} selected","${0} المحدد",
"${0} shortcuts","${0} الاختصارات",
"${0} stored at ${1}","${0} مخزنة في ${1}",
"${0} submitted","${0} تم الارسال",
"${0} value ${1} does not exist.",,
0%,,
03-23-2022,,
03/23/2022,,
"1 filter applied","تم تطبيق فلتر واحد",
2022-03-23,,
"23 Mar, 2022",,
23-03-2022,,
23.03.2022,,
23/03/2022,,
9888900000,,
"A submittable entry is deleted only if it is in the cancelled state.","الإدخال القابل للتقديم يتم حذفه فقط إذا كان في حالة الإلغاء.",
"API Base URL","عنوان URL الأساسي لواجهة برمجة التطبيقات,
Account,الحساب,
"Account ${0} does not exist.",,
"Account Entries","إدخالات الحساب",
"Account Name","اسم الحساب",
"Account Type","نوع الحساب",
Accounting,الحسابات,
"Accounting Entries",,
"Accounting Ledger Entry",,
"Accounting Settings","إعدادات المحاسبة",
Accounts,الحسابات,
"Accounts Payable","الحسابات الدائنة",
"Accounts Receivable","حسابات القبض",
"Accumulated Depreciation","الاستهلاك المتراكم",
Action,"عملية",
Active,"نشط",
"Add Account","إضافة حساب",
"Add Customers","إضافة العملاء",
"Add Group","إضافة مجموعة",
"Add Items","إضافة عناصر",
"Add Row","إضافة صف",
"Add Suppliers","إضافة الموردين",
"Add Taxes","إضافة ضرائب",
"Add a few customers to create your first sales invoice",,
"Add a few suppliers to create your first purchase invoice",,
"Add a filter","إضافة تصفية",
"Add a remark",,
"Add attachment","  أضف مرفق",
"Add invoice terms","إضافة شروط الفاتورة",
"Add products or services that you buy from your suppliers","إضافة منتجات أو خدمات تشتريها من مورديك",
"Add products or services that you sell to your customers","إضافة منتجات أو خدمات تبيعها لعملائك",
"Add quote terms","إضافة شروط الاقتباس",
"Add transfer terms","إضافة شروط النقل",
"Add'l Discounts","إضافة خصومات",
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.",,
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}",,
Address,العنوان,
"Address Display","عرض العنوان",
"Address Line 1","سطر العنوان 1",
"Address Line 2","سطر العنوان 2",
"Address Name","اسم العنوان",
"Administrative Expenses","مصاريف إدارية",
Alert,"تنبيه",
All,"الكل",
"Allow to bypass filters","السماح بتجاوز المرشحات",
Amount,المبلغ,
"Amount Paid",,
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","المبلغ: ${0} والشطب: $ {1} أقل من إجمالي المبلغ المخصص للمراجع: $ {2} .",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","المبلغ: ${0} أقل من إجمالي المبلغ المخصص للمراجع: $ {1} ",
Amounts,"  المجموع",
"An entry is cancelled only if it is in the submitted state.",,
"An entry is submitted only if it is submittable and is in the saved state.",,
"An error occurred.","حدث خطأ",
And,,
"Applicable anywhere in Green Bar By SFGCO","  قابل للتطبيق في أي مكان في Green Bar By SFGCO",
"Applicable when POS is open","قابل للتطبيق عند فتح نقطة البيع",
"Applicable when Quick Search is open","قابل للتطبيق عند فتح البحث السريع",
"Applicable when Template Builder is open","قابل للتطبيق عند فتح منشئ القوالب",
"Applicable when a entry is open in the Form view or Quick Edit view","قابل للتطبيق عند فتح إدخال في عرض النموذج أو عرض التحرير السريع",
"Applicable when the List View of an entry type is open","قابل للتطبيق عند فتح عرض قائمة نوع الإدخال",
"Application of Funds (Assets)","تطبيق الأموال (الأصول)",
"Applied Coupon Codes","رموز القسيمة المطبقة",
"Applied Items","العناصر المطبقة",
"Apply Discount After Tax","تطبيق الخصم بعد الضريبة",
"Apply Price List","تطبيق قائمة الأسعار",
"Apply and view changes made to the print template","تطبيق وعرض التغييرات التي تم إجراؤها على قالب الطباعة",
April,"أبريل,
Arial,"Arial",
"Ascending Order","  ترتيب تصاعدي",
Asset,"الأصل",
"Attach Image","  إرفاق صورة",
Attachment,"  المرفقات",
August,"أغسطس",
"Auth Token","رمز التفويض",
"Auto Payments"," خاصية الدفع التلقائي",
"Auto Stock Transfer"," خاصية نقل المنتجات تلقائيًا بين المخازن",
Autocomplete,"الإكمال التلقائي",
Back,,
"Back Reference",,
"Bad import data, could not read file.",,
Balance,"الرصيد",
"Balance Amount","المبلغhsl",
"Balance Sheet","تقرير الميزانية",
Bank,"البنك",
"Bank Accounts","حسابات بنكية",
"Bank Entry","ادخالات البنوك",
"Bank Name","اسم البنك",
"Bank Overdraft Account","حساب مصرفي السحب على المكشوف",
Barcode," الباركود",
"Barcode ${0} has an invalid length.",,
"Barcode must be exactly 12 digits.",,
"Base Grand Total"," اجمالي المبلغ  ",
"Based On","على اساس",
Batch,"الدفعة",
"Batch ${0} does not belong to Item ${1}",,
"Batch not set for row ${0}.",,
"Batch set for row ${0}.",,
"Bill Created","الفاتورة أنشأت",
Billing,"عملية الفوترة",
Billion,"مليار",
Black,أسود,
Blue,ازرق,
Both,كلاهما,
"Both From and To Location cannot be undefined",,
Buildings,المباني,
Buy,"شراء",
"Buy Button Colour","لون زر الشراء",
"Can Change Discount","يمكن تغيير الخصم",
"Can Change Rate","يمكن تغيير السعر",
Cancel,إلغاء,
"Cancel ${0}?",,
"Cancel Button Colour",,
"Cancel or Delete an entry.",,
Cancelled,ملغاة,
"Cannot Commit Error","خطأ في الالتزام",
"Cannot Delete","لا يمكن الحذف",
"Cannot Delete Account",,
"Cannot Export","لا يمكن التصدير",
"Cannot Import","لا يمكن الاستيراد",
"Cannot Open File","لا يمكن فتح الملف",
"Cannot add an item to a submitted invoice.",,
"Cannot cancel ${0} ${1} because of the following ${2}: ${3}",,
"Cannot cancel ${0} because of the following ${1}: ${2}",,
"Cannot delete ${0} ""${1}"" because of linked entries.",,
"Cannot open file",,
"Cannot perform operation.",,
"Cannot read file",,
"Capital Equipments","معدات رأس المال",
"Capital Stock","رأس المال",
Cash,نقد,
"Cash Denominations",,
"Cash Entry","قيود النقدية",
"Cash In Hand","نقدا في اليد",
Cashflow,"التدفق النقدي",
Ceil,,
"Central Tax","الضرائب المركزية",
"Change DB","تغيير قاعدة البيانات ",
"Change File","تغيير الملف",
"Change Ref Type","تغير نوع المرجع",
"Changes made to settings will be visible on reload.",,
Chargeable,,
"Chart Of Accounts Reviewed","مراجعة دليل الحسابات",
"Chart of Accounts","دليل الحسابات",
Check,,
"Check Digits",,
"City / Town","المدينة / البلدة",
Classic,,
Clear,واضح,
"Clear Synced Data From ERPNext SyncQueue",,
"Clearance Date","تاريخ التخليص",
"Clearance Date not set.",,
"Clicking continue will remove all the selected items.",,
Close,إغلاق,
"Close Green Bar By SFGCO and try manually.",,
"Close POS Shift",,
"Close Quick Search",,
Closing,اغلاق,
"Closing ${0} Amount can not be negative.",,
"Closing (Cr)","(Cr) إغلاق",
"Closing (Dr)","(Dr) إغلاق",
"Closing Amount",,
"Closing Amounts",,
"Closing Cash",,
"Closing Cash In Denominations",,
"Closing Date",,
Collapse,,
"Collection Factor (=1 LP)",,
"Collection Rules",,
Color,اللون,
Colour,,
"Commission on Sales","عمولة على المبيعات",
Common,عام,
Company,,
"Company Logo","شعار الشركة",
"Company Name","اسم الشركة",
"Company Setup","إعداد الشركة",
Completed,مكتمل,
Condition,شرط,
"Consolidate Columns","دمج الاعمدة",
Contacts,"  بيانات الاتصال",
Contains,يحتوي,
Continue,,
"Continue submitting Sales Invoice?",,
"Contra Entry",,
"Conversion Error",,
"Conversion Factor","عامل التحويل",
Converted,,
"Cost Of Goods Sold Acc."," حساب تكلفة البضاعة المباعة ",
"Cost of Goods Sold","تكلفة البضائع المباعة",
"Could not connect to database file ${0}, please select the file manually",,
Count,,
"Counter Cash Account",,
Country,البلد,
"Country Code","كود البلد",
"Country code used to initialize regional settings.","كود البلد يستخدم لتثبت اعدادات الاقليمية",
"Coupon ${0} is not applicable for applied items.",,
"Coupon Code",,
"Coupon Name",,
Coupons,,
Courier,,
Cr.,,
"Cr. ${0}",,
Create,إنشاء,
"Create Demo","انشاءنموذج تجريبي",
"Create Payment.",,
"Create Purchase","انشاء مشتريات",
"Create Purchase Invoice",,
"Create Sale","انشاء مبيعات",
"Create Sales Invoice",,
"Create a demo company to try out Green Bar By SFGCO",,
"Create a new company and store it on your computer",,
"Create a new company or select an existing one from your computer",,
"Create a new entry of the same type as the List View",,
"Create new ${0} entry?",,
"Create your first purchase invoice from the created supplier",,
"Create your first sales invoice for the created customer",,
Created,"تم الانشاء",
"Created By","تم الانشاء بواسطة",
"Creating Items and Parties","انشاء الاصناف والعناصر",
"Creating Journal Entries","انشاء قيد يومية",
"Creating Purchase Invoices","انشاء فاتورة مشتريات",
Credit,الائتمان,
"Credit Card Entry",,
"Credit Note","اشعار دائن",
Creditors,الدائنون,
Currency,العملة,
"Currency Name","اسم العملة",
Current,الحالي,
"Current Assets","الأصول الحالية",
"Current Liabilities","الخصوم المتداولة",
"Custom Field",,
"Custom Fields",,
"Custom Form",,
"Custom Hex",,
Customer,الزبون,
"Customer Created","خلق العميل",
"Customer Currency","عملة العميل",
Customers,العملاء,
Customizations,"  التهيئة",
"Customize Form",,
"Customize your invoices by adding a logo and address details","تخصيص الفاتورة باضافة الشعار وتفاصيل العنوان",
"Dark mode",,
Dashboard,"لوحة القيادة",
Data,,
"Data Sync Interval (In Minutes)",,
"Database Error",,
"Database file: ${0}",,
Date,التاريخ,
"Date Format","تنسيق التاريخ",
"Date Time",,
Day,اليوم,
Debit,مدين,
"Debit Note","أشعار مين",
Debtors,المدينون,
December,,
"Decrease print template display scale",,
Default,,
"Default Account","الحساب الافتراضي",
"Default Cash Denominations",,
"Default Location"," الموقع الافتراضي",
Defaults,"الاعدادات الافتراضية ",
Delete,حذف,
"Delete ${0}?",,
"Delete Account",,
"Delete Failed",,
"Delete Group",,
Delivered,,
Denomination,,
Depreciation,إهلاك,
"Depreciation Entry","ادخال قيد الاهلاك",
Description,الوصف,
Details,التفاصيل,
"Device ID",,
"Device is offline. Please connect to a network to continue.",,
"Difference Amount",,
"Direct Expenses","المصاريف المباشرة",
"Direct Income","الدخل المباشر",
"Directory for database file ${0} does not exist, please select the file manually",,
Disabled,,
"Discount Account"," حساب الخصم",
"Discount Account is not set.",,
"Discount Amount",,
"Discount Amount (${0}) cannot be greated than Amount (${1}).",,
"Discount Percent",,
"Discount Percent (${0}) cannot be greater than 100.",,
"Discount Percentage",,
"Discount Type",,
"Discounted Amount",,
Discounts," الخصومات",
"Display Amount In Words",,
"Display Description In Invoice",,
"Display Doc",,
"Display Logo in Invoice","عرض الشعار في الفاتورة",
"Display Precision","دقة العرض",
"Display Precision should have a value between 0 and 9.","دقة العرض يجب أن تكون لها قيمة بين 0 و 9.",
"Display Scale",,
"Display Time In Invoice",,
"Dividends Paid","توزيعات أرباح مدفوعة",
"Do not Contact",,
"Doc ${0} ${1} not set",,
Docs,,
"Document Name",,
Documentation,التوثيق,
"Does Not Contain","لا يحتوي",
Done,,
Dr.,,
"Dr. ${0}",,
Draft,مسودة,
Duplicate,تكرار,
"Duplicate Entry",,
"Duplicate Template",,
"Duplicate columns found: ${0}",,
"Duties and Taxes","الرسوم والضرائب",
"Dynamic Link",,
"ERPNext Sync",,
"ERPNext Sync Queue",,
"ERPNext Sync Settings",,
"Earnest Money","كسب المال",
Eight,,
Eighteen,,
Eighty,,
"Electronic Equipments","معدات إلكترونية",
Eleven,,
Email,"البريد الإلكتروني",
"Email Address","عنوان البريد الإلكتروني",
Empty,فارغ,
"Empty file selected",,
"Enable Barcodes","  تفعيل الباركود",
"Enable Batches","  تفعيل الباتش نمبر",
"Enable Coupon Code",,
"Enable Discount Accounting"," تفعيل حساب الخصم",
"Enable ERPNext Sync",,
"Enable Form Customization",,
"Enable Inventory"," تفعيل المخزون",
"Enable Invoice Returns",,
"Enable Item Group",,
"Enable Lead",,
"Enable Loyalty Program",,
"Enable POS Without Inventory",,
"Enable Partial Payment",,
"Enable Partial payment to pay partial amount",,
"Enable Point of Sale",,
"Enable Price List"," تفعيل قائمة الاسعار",
"Enable Pricing Rule",,
"Enable Serial Number","  تفعيل السريال نمبر",
"Enable UOM Conversion"," تفعيل إمكانية تحويل وحدات القياس",
Enabled,"مفعل  ",
"Enabled For","مفعل  ل ",
Endpoints,,
"Enter Country to load States","اختار الدولة حتى يتم تحميل  المدن",
"Enter State","ادخل  المدينة",
"Enter barcode",,
"Enter weight barcode",,
"Entertainment Expenses","مصاريف ترفيه",
Entry,,
"Entry Currency",,
"Entry Label",,
"Entry No","رقم الإدخال",
"Entry No.",,
"Entry Type","نوع الإدخال",
"Entry has Grand Total ${0}. Please verify amounts.",,
Equity,"حقوق الملكية",
Error,خطأ,
"Exchange Gain/Loss","مكاسب / خسارة الصرف",
"Exchange Rate","سعر الصرف",
"Excise Entry",,
"Existing Company",,
Expand,,
"Expected Amount",,
Expense,المصاريف,
"Expense Account","حساب المصروف",
Expenses,المصروفات,
"Expenses Included In Valuation","المصروفات المدرجة في التقييم",
"Expiry Date",,
"Expiry Duration",,
Export,تصدير,
"Export Failed","فشل التصدير",
"Export Format",,
"Export Successful","تم التصدير بنجاح",
"Export Wizard",,
"FBooks Integration Version",,
Failed,,
Fax,فاكس,
Features," الخصائص",
February,,
"Fetch Data From ERPNext",,
"Fetch From ERPNext Queue",,
Field,الحقل,
Fieldname,"اسم المجال",
"Fieldname ${0} already exists for ${1}",,
"Fieldname ${0} already used for Custom Field ${1}",,
Fieldtype,,
Fifteen,,
Fifty,,
"File ${0} does not exist.",,
"File selection failed",,
Fill,,
Filter," التصفية",
"Filter by Group",,
"Fiscal Year","السنة المالية",
"Fiscal Year End Date","تاريخ نهاية السنة المالية",
"Fiscal Year Start Date","تاريخ بدء السنة المالية",
Five,,
"Fix Failed",,
"Fixed Asset","الاصول الثابنة",
"Fixed Assets","الأصول الثابتة",
Float,,
Floor,,
"Following cells have errors: ${0}.",,
"Following links do not exist: ${absentLinks .map((l) =>",,
Font,الخط,
"For Purchase",,
"For Sales",,
"Forbidden Error",,
"Form Section",,
"Form Tab",,
"Form Type",,
Forty,,
Four,,
Fourteen,,
Fr,,
Fraction,كسر,
"Fraction Units","وحدات الكسر",
"Free Item",,
"Free items out of stock: ${0}",,
"Freight and Forwarding Charges","مصاريف الشحن",
From,,
"From Account","من الحساب",
"From Date","من تاريخ",
"From Lead",,
"From Loc.",,
"From Year","من سنة",
"Full Name","الاسم الكامل",
"Furnitures and Fixtures","الأثاث والتجهيزات",
GST,,
"GSTIN No.",,
GSTR1,,
GSTR2,,
"Gain/Loss on Asset Disposal","الربح / الخسارة من التصرف في الأصول",
General,عام,
"General Ledger","تقرير الاستاذ العام",
"Get Started",ابدأ,
Global,,
"Go back to the previous page",,
Gram,,
"Grand Total","المجموع الكلي",
"Greater Than","أكبر من",
Green,اخضر,
"Green Bar By SFGCO does not have access to the selected file: ${0}",,
"Group By","  تجميع حسب",
HSN/SAC,,
"HSN/SAC Code",,
"Half Yearly","نصف سنوى",
"Half Years",,
"Has Batch",,
"Has Serial Number",,
"Height (in cm)",,
Held,,
"Held Button Colour",,
Help,مساعدة,
"Hex Value",,
"Hidden values will be visible on Print on.",,
"Hide Get Started","إخفاء قائمة البدء",
"Hide Group Amounts","إخفاء مجاميع المبالغ",
"Hide Month/Year",,
"Hide Unavailable Items",,
"Hides the Get Started section from the sidebar. Change will be visible on restart or refreshing the app.","يخفي قسم البدء من الشريط الجانبي. سيكون التغيير مرئيًا عند إعادة التشغيل أو تحديث التطبيق",
Hour,,
Hundred,,
INR,,
"If any entry form is open, save the details. Otherwise, save the invoice.","إذا كان أي نموذج إدخال مفتوحًا، فاحفظ التفاصيل. خلاف ذلك، احفظ الفاتورة.",
"If any entry form is open, your entry will be canceled. Otherwise the selected items will be removed.",,
"Ignore Pricing Rule",,
Image,صورة,
"Import Complete",,
"Import Data","استيراد البيانات",
"Import Data.",,
"Import Type","نوع الاستيراد",
"Import Wizard"," استيراد البيانات",
"Importer not set, reload tool",,
Inactive,,
"Include Cancelled","  يتضمن الملغي",
Income,الدخل,
"Income Account","حساب الدخل",
"Increase print template display scale",,
Indigo,,
"Indirect Expenses","مصاريف غير مباشرة",
"Indirect Income","الدخل غير المباشر",
Inflow,التدفق,
"Instance Id",,
"Insufficient Quantity",,
"Insufficient Quantity.",,
"Insufficient Quantity. Item ${0} has only ${1} quantities available. you selected ${2}",,
Int,,
"Integration Error Log",,
Interested,,
"Intergrated Tax","ضريبة متكاملة",
"Internal Precision","الدقة الداخلية",
"Invalid HSN Code.",,
"Invalid Key Error",,
"Invalid Quantity for Item ${0}",,
"Invalid barcode value ${0}.",,
"Invalid value ${0} for ${1}",,
"Invalid value found for ${0}",,
Inventory,المخازن,
"Inventory Items",,
"Inventory Settings",,
Investments,استثمارات,
Invoice,الفاتورة,
"Invoice Created","الفاتورة المُنشأة",
"Invoice Date","تاريخ الفاتورة",
"Invoice Item",,
"Invoice No","رقم الفاتورة",
"Invoice No.","رقم الفاتورة",
"Invoice Value","قيمة الفاتورة",
Invoices,الفواتير,
Is,هو,
"Is Coupon Code Based",,
"Is Custom",,
"Is Empty",فارغ,
"Is Enabled",,
"Is Group","هي المجموعة",
"Is Landscape",,
"Is Not",ليس,
"Is Not Empty","ليس فارغ",
"Is POS Shift Open",,
"Is Price List Enabled",,
"Is Pricing Rule Enabled",,
"Is Recursive",,
"Is Required",,
"Is Sync Enabled",,
"Is Whole",,
Item,صنف,
"Item ${0} has Zero Quantity",,
"Item ${0} is a batched item",,
"Item ${0} is not a batched item",,
"Item ${0} not found",,
"Item ${0} not in Stock",,
"Item ${0} only has ${1} Quantity",,
"Item ${0} only has ${1} Quantity in batch ${2}",,
"Item Code",,
"Item Code Digits",,
"Item Description",,
"Item Discounts",,
"Item Group",,
"Item Name","اسم العنصر",
"Item Prices",,
"Item Visibility",,
"Item is out of stock (quantity is zero)",,
"Item with From location not found",,
"Item with To location not found",,
"Item with barcode ${0} not found.",,
ItemCode,,
Items,العناصر,
January,,
"John Doe",,
"Journal Entries",,
"Journal Entry","إدخال دفتر اليومية",
"Journal Entry Account",,
"Journal Entry Number Series"," تسلسل القيود اليومية",
"Journal Entry Print Template","  قالب الطابعة القيود اليومية",
July,,
June,,
"Key Hints",,
Kg,,
Label,,
Language,اللغة,
Lead,,
"Left Index",,
"Legal Expenses","المصاريف القانونية",
"Less Filters",,
"Less Than","أقل من",
Liability,,
Limit,,
Link,,
"Link Validation Error",,
"Linked Entries",,
List,,
"List View",,
"Load an existing company from your computer",,
"Loading Report...",,
"Loading instance...",,
Loading...,"تحميل ...",
"Loans (Liabilities)","قروض (خصوم)",
"Loans and Advances (Assets)","القروض والسلف (الأصول)",
Locale,اللغة,
Location,,
"Location Name",,
Logo,الشعار,
"Loyalty Point Entry",,
"Loyalty Points",,
"Loyalty Points Redemption",,
"Loyalty Program",,
"Loyalty Program Tier",,
"Make Entry"," ادخال جديد  ",
